,Margin,Average Choice,Most Common Choice,StudyNumber
Subj_273,950,2.97,3,4
Subj_274,-1550,2.41,2,4
Subj_275,650,2.61,2,4
Subj_276,550,2.74,3,4
Subj_277,0,2.84,4,4
Subj_278,-350,2.75,3,4
Subj_279,350,2.73,3,4
Subj_280,1000,2.76,3,4
Subj_281,-1100,2.26,2,4
Subj_282,-800,2.36,2,4
Subj_283,-900,2.54,2,4
Subj_284,-850,2.75,2,4
Subj_285,1450,3.08,4,4
Subj_286,-1350,2.53,2,4
Subj_287,1700,3.75,4,4
Subj_288,-2200,2.16,2,4
Subj_289,1750,2.98,3,4
Subj_290,-300,2.44,2,4
Subj_291,800,3.38,4,4
Subj_292,-3695,2.19,2,5
Subj_293,-2000,2.61,4,5
Subj_294,-915,2.91,4,5
Subj_295,1640,3.01,4,5
Subj_296,-1585,2.56,2,5
Subj_297,1885,3.06,3,5
Subj_298,-2160,2.48,2,5
Subj_299,2510,3.32,4,5
Subj_300,720,3.02,4,5
Subj_301,145,2.62,4,5
Subj_302,2855,3.14,3,5
Subj_303,-65,2.63,4,5
Subj_304,-1060,2.78,4,5
Subj_305,1880,2.92,3,5
Subj_306,-665,3.11,4,5
Subj_307,1045,2.71,3,5
Subj_308,495,2.72,4,5
Subj_309,3570,3.4,4,5
Subj_310,-845,2.6,2,5
Subj_311,2240,3.04,4,5
Subj_312,105,2.64,3,5
Subj_313,-1380,2.79,4,5
Subj_314,1045,3.28,4,5
Subj_315,-2185,2.41,2,5
Subj_316,2415,2.96,3,5
Subj_317,-320,2.58,2,6
Subj_318,-1030,2.43,2,6
Subj_319,-1850,2.49,2,6
Subj_320,-775,2.54,2,6
Subj_321,-1600,2.63,2,6
Subj_322,-550,2.5,2,6
Subj_323,-2210,2.59,2,6
Subj_324,-450,2.61,3,6
Subj_325,590,3.1,4,6
Subj_326,-380,3.06,4,6
Subj_327,-1455,2.62,2,6
Subj_328,-2405,2.19,1,6
Subj_329,-1640,2.67,2,6
Subj_330,-1210,2.73,3,6
Subj_331,-840,2.67,4,6
Subj_332,1805,2.79,3,6
Subj_333,1190,2.92,4,6
Subj_334,-2485,2.47,2,6
Subj_335,-1090,2.62,4,6
Subj_336,-1340,2.44,3,6
Subj_337,-650,2.66,4,6
Subj_338,-4250,1.95,2,6
Subj_339,-330,3.01,4,6
Subj_340,-620,2.51,2,6
Subj_341,-1035,2.48,2,6
Subj_342,-1180,2.63,3,6
Subj_343,-60,2.58,3,6
Subj_344,1430,3.06,4,6
Subj_345,-655,2.8,4,6
Subj_346,-680,2.72,4,6
Subj_347,-1710,2.29,2,6
Subj_348,-920,2.6,2,6
Subj_349,925,3.24,4,6
Subj_350,375,2.95,4,6
Subj_351,-1410,2.53,2,6
Subj_352,610,3.2,4,6
Subj_353,-920,2.86,4,6
Subj_354,-240,2.98,4,6
Subj_355,-710,2.57,2,6
Subj_356,-1075,2.51,3,6
Subj_357,-1300,2.55,4,6
Subj_358,-2170,2.54,2,6
Subj_359,70,2.6,3,6
Subj_360,-780,2.99,4,6
Subj_361,195,3.03,4,6
Subj_362,1135,3.15,4,6
Subj_363,-855,2.32,2,6
Subj_364,-1465,2.46,1,6
Subj_365,-715,2.44,2,6
Subj_366,-290,2.44,3,6
Subj_367,-145,3.21,4,6
Subj_368,-1810,2.65,2,6
Subj_369,-2225,2.47,2,6
Subj_370,-1430,2.42,1,6
Subj_371,-1160,2.92,4,6
Subj_372,-630,2.58,4,6
Subj_373,-1025,2.48,2,6
Subj_374,-1165,2.67,4,6
Subj_375,-325,2.65,2,6
Subj_376,-2010,2.25,2,6
Subj_377,1315,2.91,3,6
Subj_378,-1480,2.71,2,6
Subj_379,920,3.09,4,6
Subj_380,965,3.05,4,6
Subj_381,840,3.12,4,6
Subj_382,-2190,2.24,1,6
Subj_383,2500,3.05,3,6
Subj_384,-455,2.73,4,6
Subj_385,495,3.0,4,6
Subj_386,-1565,2.33,1,6
Subj_387,-170,2.61,3,6
Subj_388,-1235,2.47,2,6
Subj_389,-3725,2.11,2,6
Subj_390,510,3.12,4,6
Subj_391,330,3.26,4,6
Subj_392,-490,2.58,3,6
Subj_393,-1355,2.65,4,6
Subj_394,-585,2.99,4,6
Subj_395,-535,2.48,2,6
Subj_396,-1000,2.83,4,6
Subj_397,-1160,2.38,2,6
Subj_398,-1265,2.49,3,6
Subj_399,1410,2.88,3,6
Subj_400,-610,2.72,3,6
